lastUpdated,parameter,value,unit,sourceName,country,city,location,averagingPeriod.value,averagingPeriod.unit
2020-03-03 10:00:00+00:00,o3,35.66,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES0118A,1,hours
2020-03-03 10:00:00+00:00,o3,39.65,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES0124A,1,hours
2020-03-03 10:00:00+00:00,o3,47.92,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES0125A,1,hours
2020-03-03 10:00:00+00:00,o3,51.94,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES0126A,1,hours
2020-03-03 10:00:00+00:00,o3,56.99,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1193A,1,hours
2020-03-03 09:00:00+00:00,o3,57.99,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1422A,1,hours
2020-03-03 10:00:00+00:00,o3,52.12,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1521A,1,hours
2020-03-02 16:00:00+00:00,o3,81.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1563A,1,hours
2020-03-03 10:00:00+00:00,o3,55.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1564A,1,hours
2020-03-03 10:00:00+00:00,o3,58.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1565A,1,hours
2020-03-03 10:00:00+00:00,o3,56.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1567A,1,hours
2020-03-03 10:00:00+00:00,o3,69.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1568A,1,hours
2020-03-03 09:00:00+00:00,o3,52.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1611A,1,hours
2020-03-03 10:00:00+00:00,o3,56.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1612A,1,hours
2020-03-03 10:00:00+00:00,o3,38.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1613A,1,hours
2020-03-03 10:00:00+00:00,o3,49.78,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1645A,1,hours
2020-03-03 10:00:00+00:00,o3,53.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1752A,1,hours
2020-03-03 10:00:00+00:00,o3,51.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1801A,1,hours
2020-03-03 10:00:00+00:00,o3,83.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1802A,1,hours
2020-03-03 10:00:00+00:00,o3,67.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1803A,1,hours
2020-03-03 10:00:00+00:00,o3,74.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1805A,1,hours
2020-03-03 10:00:00+00:00,o3,67.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1806A,1,hours
2020-03-03 10:00:00+00:00,o3,52.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1807A,1,hours
2020-03-03 10:00:00+00:00,o3,62.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1808A,1,hours
2020-03-03 10:00:00+00:00,o3,70.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1809A,1,hours
2020-03-03 10:00:00+00:00,o3,71.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1810A,1,hours
2020-03-03 10:00:00+00:00,o3,66.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1811A,1,hours
2020-03-03 10:00:00+00:00,o3,57.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1838A,1,hours
2020-03-03 10:00:00+00:00,o3,53.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1869A,1,hours
2020-03-03 10:00:00+00:00,o3,53.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1890A,1,hours
2020-03-03 10:00:00+00:00,o3,48.61,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1939A,1,hours
2020-03-03 10:00:00+00:00,o3,59.47,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1941A,1,hours
2018-01-01 23:00:00+00:00,o3,54.63,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1943A,1,hours
2020-03-03 10:00:00+00:00,o3,65.63,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1945A,1,hours
2020-03-03 10:00:00+00:00,o3,46.2,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1946A,1,hours
2020-03-03 10:00:00+00:00,o3,62.5,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1947A,1,hours
2020-03-03 10:00:00+00:00,o3,55.0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES2028A,1,hours
