,location,parameter,value,coordinates.longitude,coordinates.latitude
0,ES0115A,no2,40.0,-3.71222,40.42417
1,ES0118A,o3,64.86,-3.68222,40.42167
2,ES0118A,no2,34.0,-3.68222,40.42167
3,ES0118A,pm25,6.0,-3.68222,40.42167
4,ES0120A,no2,34.0,-3.67722,40.45167
5,ES0124A,o3,74.52,-3.63917,40.44
6,ES0124A,no2,13.0,-3.63917,40.44
7,ES0125A,o3,77.81,-3.705,40.34694
8,ES0125A,no2,14.0,-3.705,40.34694
9,ES0126A,o3,81.06,-3.73194,40.39472
10,ES0126A,no2,10.0,-3.73194,40.39472
11,ES1193A,pm25,4.0,-3.74917,40.42
12,ES1193A,no2,3.0,-3.74917,40.42
13,ES1193A,o3,75.17,-3.74917,40.42
14,ES1422A,o3,57.32,-3.70333,40.41917
15,ES1422A,no2,23.0,-3.70333,40.41917
16,ES1426A,no2,23.0,-3.64528,40.40805
17,ES1521A,o3,70.95,-3.71139,40.47833
18,ES1521A,no2,15.0,-3.71139,40.47833
19,ES1525A,no2,17.0,-3.70639,40.44528
20,ES1525A,pm25,2.0,-3.70639,40.44528
21,ES1532A,no2,16.0,-3.65139,40.38805
22,ES1563A,o3,75.0,-3.37778,40.47917
23,ES1563A,no2,18.0,-3.37778,40.47917
24,ES1563A,pm25,6.0,-3.37778,40.47917
25,ES1564A,no2,6.0,-3.64472,40.54056
26,ES1564A,o3,85.0,-3.64472,40.54056
27,ES1565A,no2,21.0,-3.80167,40.28111
28,ES1565A,o3,72.0,-3.80167,40.28111
29,ES1567A,pm25,6.0,-3.73583,40.33972
30,ES1567A,no2,14.0,-3.73583,40.33972
31,ES1567A,o3,73.0,-3.73583,40.33972
32,ES1568A,no2,6.0,-3.87639,40.32417
33,ES1568A,o3,88.0,-3.87639,40.32417
34,ES1611A,no2,5.0,-3.59164,40.03328
35,ES1611A,o3,80.0,-3.59164,40.03328
36,ES1612A,o3,77.0,-3.86722,40.44778
37,ES1612A,no2,9.0,-3.86722,40.44778
38,ES1613A,o3,70.0,-3.77222,40.66639
39,ES1613A,no2,4.0,-3.77222,40.66639
40,ES1645A,o3,79.6,-3.575,40.47472
41,ES1645A,no2,9.0,-3.575,40.47472
42,ES1752A,pm25,1.0,-3.48417,40.455
43,ES1752A,no2,15.0,-3.48417,40.455
44,ES1752A,o3,85.0,-3.48417,40.455
45,ES1801A,o3,56.0,-3.45889,40.30083
46,ES1801A,no2,29.0,-3.45889,40.30083
47,ES1802A,no2,1.0,-3.46667,40.91028
48,ES1802A,pm25,3.0,-3.46667,40.91028
49,ES1802A,o3,85.0,-3.46667,40.91028
50,ES1803A,pm25,4.0,-4.01333,40.63389
51,ES1803A,o3,78.0,-4.01333,40.63389
52,ES1803A,no2,16.0,-4.01333,40.63389
53,ES1805A,no2,7.0,-3.7025,40.78083
54,ES1805A,o3,91.0,-3.7025,40.78083
55,ES1806A,o3,83.0,-3.22222,40.28694
56,ES1806A,no2,3.0,-3.22222,40.28694
57,ES1807A,o3,83.0,-3.54414,40.35853
58,ES1807A,no2,8.0,-3.54414,40.35853
59,ES1808A,o3,85.0,-4.39694,40.36889
60,ES1808A,no2,2.0,-4.39694,40.36889
61,ES1809A,o3,82.0,-3.67972,40.18528
62,ES1809A,pm25,1.0,-3.67972,40.18528
63,ES1809A,no2,8.0,-3.67972,40.18528
64,ES1810A,pm25,2.0,-4.27472,40.25194
65,ES1810A,no2,3.0,-4.27472,40.25194
66,ES1810A,o3,49.0,-4.27472,40.25194
67,ES1811A,o3,72.0,-3.27667,40.16722
68,ES1811A,pm25,2.0,-3.27667,40.16722
69,ES1811A,no2,13.0,-3.27667,40.16722
70,ES1838A,no2,6.0,-3.50306,40.59333
71,ES1838A,o3,81.0,-3.50306,40.59333
72,ES1838A,pm25,4.0,-3.50306,40.59333
73,ES1869A,o3,77.0,-3.54583,40.43
74,ES1869A,pm25,4.0,-3.54583,40.43
75,ES1869A,no2,15.0,-3.54583,40.43
76,ES1890A,pm25,2.0,-3.83389,40.34194
77,ES1890A,o3,80.0,-3.83389,40.34194
78,ES1890A,no2,5.0,-3.83389,40.34194
79,ES1937A,no2,11.0,-3.68667,40.39806
80,ES1937A,pm25,3.0,-3.68667,40.39806
81,ES1938A,pm25,1.0,-3.69028,40.43972
82,ES1938A,no2,20.0,-3.69028,40.43972
83,ES1939A,no2,11.0,-3.68556,40.40972
84,ES1939A,o3,78.83,-3.68556,40.40972
85,ES1940A,no2,28.0,-3.68833,40.46583
86,ES1940A,pm25,2.0,-3.68833,40.46583
87,ES1941A,o3,82.67,-3.61194,40.37278
88,ES1941A,no2,17.0,-3.61194,40.37278
89,ES1942A,no2,4.0,-3.58056,40.4625
90,ES1943A,no2,19.0,-3.71861,40.38472
91,ES1943A,o3,54.63,-3.71861,40.38472
92,ES1943A,pm25,4.0,-3.71861,40.38472
93,ES1944A,no2,10.0,-3.66028,40.49417
94,ES1945A,no2,6.0,-3.77444,40.51805
95,ES1945A,o3,81.82,-3.77444,40.51805
96,ES1946A,o3,71.71,-3.60889,40.465
97,ES1946A,no2,7.0,-3.60889,40.465
98,ES1947A,no2,10.0,-3.68972,40.50056
99,ES1947A,o3,85.29,-3.68972,40.50056
100,ES2028A,pm25,5.0,-3.71724,40.31285
101,ES2028A,o3,78.0,-3.71724,40.31285
102,ES2028A,no2,8.0,-3.71724,40.31285
